Year;Player;Team;Award Share
2023;Joel Embiid;Team;0.915
2022;Nikola Jokic;Denver Nuggets;0.875
2021;Nikola Jokic;Milwaukee Bucks;0.961
2020;Giannis Antetokounmpo;Milwaukee Bucks;0.952
2019;Giannis Antetokounmpo;Houston Rockets;0.932
2018;James Harden;Houston Rockets;0.955
2017;Russell Westbrook;Oklahoma City Thunder;0.879
2016;Stephen Curry;Golden State Warriors;1.000
2015;Stephen Curry;Golden State Warriors;0.922
2014;Kevin Durant;Miami Heat;0.986
2013;LeBron James;Miami Heat;0.998
2012;LeBron James;Miami Heat;0.888
2011;Derrick Rose;Chicago Bulls;0.977
2010;LeBron James;Cleveland Cavaliers;0.980
2009;LeBron James;Cleveland Cavaliers;0.969
2008;Kobe Bryant;Los Angeles Lakers;0.873
2007;Dirk Nowitzki;Dallas Mavericks;0.882
2006;Steve Nash;Phoenix Suns;0.739
2005;Steve Nash;Phoenix Suns;0.839
2004;Kevin Garnett;Minnesota Timberwolves;0.991
2003;Tim Duncan;San Antonio Spurs;0.808
2002;Tim Duncan;San Antonio Spurs;0.757
2001;Allen Iverson;Philadelphia 76ers;0.904
2000;Shaquille O'Neal;Los Angeles Lakers;0.998
1999;Karl Malone;Utah Jazz;0.701
1998;Michael Jordan;Chicago Bulls;0.934
1997;Karl Malone;Utah Jazz;0.857
1996;Michael Jordan;Chicago Bulls;0.986
1995;David Robinson;San Antonio Spurs;0.858
1994;Hakeem Olajuwon;Houston Rockets;0.880
1993;Charles Barkley;Phoenix Suns;0.852
1992;Michael Jordan;Chicago Bulls;0.938
1991;Michael Jordan;Chicago Bulls;0.928
1990;Magic Johnson;Los Angeles Lakers;0.691
1989;Magic Johnson;Los Angeles Lakers;0.782
1988;Michael Jordan;Chicago Bulls;0.831
1987;Magic Johnson;Los Angeles Lakers;0.940
1986;Larry Bird;Boston Celtics;0.981
1985;Larry Bird;Boston Celtics;0.978
1984;Larry Bird;Boston Celtics;0.858
1983;Moses Malone;Philadelphia 76ers;0.96
1982;Moses Malone;Houston Rockets;0.735
